[13/11/2018 17:45:24] /closeserver
[13/11/2018 17:45:34] /clean
[13/11/2018 18:29:37] /closeserver
[14/11/2018 11:11:17] /a 2
[14/11/2018 11:11:17] /a 2
[14/11/2018 11:11:17] /a 2
[14/11/2018 11:11:17] /a 2
[14/11/2018 11:11:17] /a 2
[14/11/2018 11:11:17] /a 2
[14/11/2018 11:11:17] /a 2
[14/11/2018 11:11:17] /a 2
[14/11/2018 11:11:17] /a 2
[14/11/2018 11:11:18] /a 2
[14/11/2018 11:11:18] /a 2
[14/11/2018 11:11:18] /a 2
[14/11/2018 11:11:18] /a 2
[14/11/2018 11:11:18] /a 2
[14/11/2018 11:11:18] /a 2
[14/11/2018 11:11:18] /a 2
[14/11/2018 11:11:18] /a 2
[14/11/2018 11:11:18] /a 2
[14/11/2018 11:11:18] /a 2
[14/11/2018 11:11:18] /a 2
[14/11/2018 11:11:18] /a 2
[14/11/2018 11:11:18] /a 2
[14/11/2018 11:11:18] /a 2
[14/11/2018 11:11:18] /a 2
[14/11/2018 11:11:18] /a 2
[14/11/2018 11:11:18] /a 2
[14/11/2018 11:11:18] /a 2
[14/11/2018 11:11:18] /a 2
[14/11/2018 11:11:18] /a 2
[14/11/2018 11:11:18] /a 2
[14/11/2018 11:11:18] /a 2
[14/11/2018 11:11:19] /a 2
[14/11/2018 11:11:19] /a 2
[14/11/2018 11:11:19] /a 2
[14/11/2018 11:11:19] /a 2
[14/11/2018 11:11:19] /a 2
[14/11/2018 11:11:19] /a 2
[14/11/2018 11:11:19] /a 2
[14/11/2018 11:11:20] /a 2
[14/11/2018 11:11:20] /a 2
[14/11/2018 11:11:20] /a 2
[14/11/2018 11:11:20] /a 2
[14/11/2018 11:11:20] /a 2
[14/11/2018 11:11:20] /a 2
[14/11/2018 11:11:20] /a 2
[14/11/2018 11:11:20] /a 2
[14/11/2018 11:11:20] /a 2
[14/11/2018 11:11:20] /a 2
[14/11/2018 11:11:20] /a 2
[14/11/2018 11:11:20] /a 2
[14/11/2018 11:11:20] /a 2
[14/11/2018 11:11:20] /a 2
[14/11/2018 11:11:20] /a 2
[14/11/2018 11:11:20] /a 2
[14/11/2018 11:11:21] /a 2
[14/11/2018 11:11:21] /a 2
[14/11/2018 11:11:21] /a 2
[14/11/2018 11:11:21] /a 2
[14/11/2018 11:11:21] /a 2
[14/11/2018 11:11:21] /a 2
[14/11/2018 11:11:21] /a 2
[14/11/2018 11:11:22] /a 2
[14/11/2018 11:11:22] /a 2
[14/11/2018 11:11:22] /a 2
[14/11/2018 11:11:22] /a 2
[14/11/2018 11:11:22] /a 2
[14/11/2018 11:11:22] /a 2
[14/11/2018 11:11:22] /a 2
[14/11/2018 11:11:22] /a 2
[14/11/2018 11:11:22] /a 2
[14/11/2018 11:11:22] /a 2
[14/11/2018 11:11:22] /a 2
[14/11/2018 11:11:22] /a 2
[14/11/2018 11:11:22] /a 2
[14/11/2018 11:11:23] /a 2
[14/11/2018 11:11:24] /a 2
[14/11/2018 11:11:24] /a 2
[14/11/2018 11:11:24] /a 2
[14/11/2018 11:11:24] /a 2
[14/11/2018 11:11:24] /a 2
[14/11/2018 11:11:24] /a 2
[14/11/2018 11:11:25] /a 2
[14/11/2018 11:11:25] /a 2
[14/11/2018 11:11:25] /a 2
[14/11/2018 11:11:25] /a 2
[14/11/2018 11:11:25] /a 2
[14/11/2018 11:11:25] /a 2
[14/11/2018 11:11:25] /a 2
[14/11/2018 11:11:25] /a 2
[14/11/2018 11:11:25] /a 2
[14/11/2018 11:11:25] /a 2
[14/11/2018 11:11:26] /a 2
[14/11/2018 11:11:26] /a 2
[14/11/2018 11:11:26] /a 2
[14/11/2018 11:11:26] /a 2
[14/11/2018 11:11:26] /a 2
[14/11/2018 11:11:26] /a 2
[14/11/2018 11:11:26] /a 2
[14/11/2018 11:11:26] /a 2
[14/11/2018 11:11:26] /a 2
[14/11/2018 11:11:26] /a 2
[14/11/2018 11:11:26] /a 2
[14/11/2018 11:11:26] /a 2
[14/11/2018 11:11:26] /a 2
[14/11/2018 11:11:26] /a 2
[14/11/2018 11:11:26] /a 2
[14/11/2018 11:11:26] /a 2
[14/11/2018 11:11:26] /a 2
[14/11/2018 11:11:26] /a 2
[14/11/2018 11:11:26] /a 2
[14/11/2018 11:11:26] /a 2
[14/11/2018 11:11:26] /a 2
[14/11/2018 11:11:27] /a 2
[14/11/2018 11:11:27] /a 2
[14/11/2018 11:11:27] /a 2
[14/11/2018 11:11:27] /a 2
[14/11/2018 11:11:27] /a 2
[14/11/2018 11:11:27] /a 2
[14/11/2018 11:11:27] /a 2
[14/11/2018 11:11:27] /a 2
[14/11/2018 11:11:27] /a 2
[14/11/2018 11:11:28] /a 2
[14/11/2018 11:11:28] /a 2
[14/11/2018 11:11:28] /a 2
[14/11/2018 11:11:28] /a 2
[14/11/2018 11:11:28] /a 2
[14/11/2018 11:11:29] /a 2
[14/11/2018 11:11:29] /a 2
[14/11/2018 11:11:29] /a 2
[14/11/2018 11:11:29] /a 2
[14/11/2018 11:11:29] /a 2
[14/11/2018 11:11:29] /a 2
[14/11/2018 11:11:29] /a 2
[14/11/2018 11:11:29] /a 2
[14/11/2018 11:11:30] /a 2
[14/11/2018 11:11:30] /a 2
[14/11/2018 11:11:30] /a 2
[14/11/2018 11:11:31] /a 2
[14/11/2018 11:11:31] /a 2
[14/11/2018 11:11:31] /a 2
[14/11/2018 11:11:31] /a 2
[14/11/2018 11:11:32] /a 2
[14/11/2018 11:11:32] /a 2
[14/11/2018 11:11:32] /a 2
[14/11/2018 11:11:32] /a 2
[14/11/2018 11:11:33] /a 2
[14/11/2018 11:11:33] /a 2
[14/11/2018 11:11:33] /a 2
[14/11/2018 11:11:33] /a 2
[14/11/2018 11:11:34] /a 2
[14/11/2018 11:11:34] /a 2
[14/11/2018 11:11:34] /a 2
[14/11/2018 11:11:34] /a 2
[14/11/2018 11:11:34] /a 2
[14/11/2018 11:11:35] /a 2
[14/11/2018 11:11:35] /a 2
[14/11/2018 11:11:35] /a 2
[14/11/2018 11:11:53] /a 2
[14/11/2018 11:11:53] /a 2
[14/11/2018 11:11:53] /a 2
[14/11/2018 11:11:54] /a 2
[14/11/2018 11:11:54] /a 2
[14/11/2018 11:11:54] /a 2
[14/11/2018 11:11:54] /a 2
[14/11/2018 11:11:54] /a 2
[14/11/2018 11:11:54] /a 2
[14/11/2018 11:11:54] /a 2
[14/11/2018 11:11:54] /a 2
[14/11/2018 11:11:54] /a 2
[14/11/2018 11:11:54] /a 2
[14/11/2018 11:11:55] /a 2
[14/11/2018 11:11:55] /a 2
[14/11/2018 11:11:55] /a 2
[14/11/2018 11:11:55] /a 2
[14/11/2018 11:11:55] /a 2
[14/11/2018 11:11:55] /a 2
[14/11/2018 11:11:56] /a 2
[14/11/2018 11:11:56] /a 2
[14/11/2018 11:11:56] /a 2
[14/11/2018 11:11:56] /a 2
[14/11/2018 11:11:56] /a 2
[14/11/2018 11:11:56] /a 2
[14/11/2018 11:11:56] /a 2
[14/11/2018 11:11:56] /a 2
[14/11/2018 11:11:56] /a 2
[14/11/2018 11:11:57] /a 2
[14/11/2018 11:11:57] /a 2
[14/11/2018 11:11:57] /a 2
[14/11/2018 11:11:57] /a 2
[14/11/2018 11:11:57] /a 2
[14/11/2018 11:11:57] /a 2
[14/11/2018 11:11:58] /a 2
[14/11/2018 11:12:4] /i 2580
[14/11/2018 11:12:6] /t
[14/11/2018 11:12:44] /i 5801
[14/11/2018 11:15:3] /t
[14/11/2018 11:15:26] /r
[14/11/2018 11:17:25] /t
[14/11/2018 11:19:14] /m pick rod
[14/11/2018 11:19:22] /m pickrod
[14/11/2018 11:19:28] /m Pickrodor
[14/11/2018 11:19:57] /r
[14/11/2018 11:20:42] /i 741
[14/11/2018 11:20:47] /i 7410
[14/11/2018 11:40:30] /reload monsters
[14/11/2018 11:46:34] /m pickrodor
[14/11/2018 11:46:45] /reload monsters
[14/11/2018 11:47:19] /r
[14/11/2018 11:47:22] /r
[14/11/2018 11:47:34] /r
[14/11/2018 12:9:50] /r
[14/11/2018 12:45:3] /reload creaturescripts
[14/11/2018 12:53:25] /reload creaturescripts
[14/11/2018 12:53:49] /reload creaturescripts
[14/11/2018 15:2:23] /reload talkactions
[14/11/2018 15:4:16] /reload talkactions
[14/11/2018 15:6:44] /reload talkactions
[14/11/2018 15:11:5] /reload talkactions
[14/11/2018 15:24:53] /reload talkactions
[14/11/2018 15:25:55] /c Rastulacha
[14/11/2018 15:26:0] /i 2160
[14/11/2018 15:26:12] /t Rastulacha
[14/11/2018 15:33:28] /reload talkactions
[14/11/2018 15:46:26] /reload globalevents
[14/11/2018 15:50:49] /reload globalevents
[14/11/2018 16:4:23] /clean
[14/11/2018 16:4:53] /i 2214
[14/11/2018 16:20:20] /reload creaturescripts
[14/11/2018 16:21:8] /reload creaturescripts
[14/11/2018 16:22:23] /reload creaturescripts
[14/11/2018 16:22:53] /reload creaturescripts
[14/11/2018 16:32:11] /reload creaturescripts
[14/11/2018 16:44:40] /reload movements
[14/11/2018 16:45:22] /reload movements
[14/11/2018 16:46:20] /reload movements
[14/11/2018 16:50:33] /reload movements
[14/11/2018 16:51:49] /reload creaturescripts
[14/11/2018 17:15:36] /reload movements
[14/11/2018 17:18:3] /reload movements
[14/11/2018 17:26:40] /reload movements
[14/11/2018 17:35:48] /i 2168
[14/11/2018 17:36:0] /i 2215
[14/11/2018 17:36:17] /i 2214
[14/11/2018 17:43:57] /reload movements
[14/11/2018 17:45:28] /reload movements
[14/11/2018 17:46:20] /t
[14/11/2018 17:47:12] /reload movements
[14/11/2018 17:47:36] /m troll
[14/11/2018 17:48:51] /r
[14/11/2018 17:57:18] /reload creaturescripts
[14/11/2018 17:58:49] /reload movements
[14/11/2018 18:1:47] /reload creaturescripts
[14/11/2018 18:2:53] /reload creaturescripts
[14/11/2018 18:3:28] /reload creaturescripts
[14/11/2018 18:5:0] /clean
