[27/4/2018 21:28:41] /m exterminador
[27/4/2018 21:29:32] /a 2
[27/4/2018 21:29:32] /a 2
[27/4/2018 21:29:32] /a 2
[27/4/2018 21:29:32] /a 2
[27/4/2018 21:29:32] /a 2
[27/4/2018 21:29:32] /a 2
[27/4/2018 21:29:32] /a 2
[27/4/2018 21:29:32] /a 2
[27/4/2018 21:29:32] /a 2
[27/4/2018 21:29:32] /a 2
[27/4/2018 21:29:32] /a 2
[27/4/2018 21:29:32] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:33] /a 2
[27/4/2018 21:29:34] /a 2
[27/4/2018 21:29:34] /a 2
[27/4/2018 21:29:34] /a 2
[27/4/2018 21:29:34] /a 2
[27/4/2018 21:29:35] /a 2
[27/4/2018 21:29:35] /a 2
[27/4/2018 21:29:35] /a 2
[27/4/2018 21:29:35] /a 2
[27/4/2018 21:29:35] /a 2
[27/4/2018 21:29:35] /a 2
[27/4/2018 21:29:35] /a 2
[27/4/2018 21:29:35] /a 2
[27/4/2018 21:29:35] /a 2
[27/4/2018 21:29:36] /a 2
[27/4/2018 21:29:36] /a 2
[27/4/2018 21:29:36] /a 2
[27/4/2018 21:29:37] /a 2
[27/4/2018 21:30:52] /t
[27/4/2018 21:31:3] /i 2158
[27/4/2018 21:31:7] /i 3256
[27/4/2018 21:31:11] /i 1988
[27/4/2018 21:31:14] /i 2156
[27/4/2018 21:31:18] /i 2154
[27/4/2018 21:31:22] /i 2152
[27/4/2018 21:31:27] /i 2153
[27/4/2018 21:34:46] /m troll
[27/4/2018 21:36:56] /i 2433
[27/4/2018 21:37:0] /t
[27/4/2018 21:40:32] /i 2400
[27/4/2018 21:55:12] /c juliano
[27/4/2018 22:5:57] /a 2
[27/4/2018 22:6:48] /m demon
[27/4/2018 22:7:2] /m apocalypse
[27/4/2018 22:8:20] /m juliano
[27/4/2018 22:8:27] /t juliano
[27/4/2018 22:11:31] /r
[27/4/2018 22:11:35] /r
[27/4/2018 22:12:23] /a 2
[27/4/2018 22:12:24] /a 2
[27/4/2018 22:12:24] /a 2
[27/4/2018 22:12:24] /a 2
[27/4/2018 22:12:24] /a 2
[27/4/2018 22:12:24] /a 2
[27/4/2018 22:12:24] /a 2
[27/4/2018 22:12:24] /a 2
[27/4/2018 22:12:25] /a 2
[27/4/2018 22:12:25] /a 2
[27/4/2018 22:12:25] /a 2
[27/4/2018 22:12:25] /a 2
[27/4/2018 22:12:25] /a 2
[27/4/2018 22:12:25] /a 2
[27/4/2018 22:12:25] /a 2
[27/4/2018 22:12:25] /a 2
[27/4/2018 22:12:25] /a 2
[27/4/2018 22:12:25] /a 2
[27/4/2018 22:12:25] /a 2
[27/4/2018 22:13:2] /a 2
[27/4/2018 22:13:3] /a 2
[27/4/2018 22:13:4] /a 2
[27/4/2018 22:13:4] /a 2
[27/4/2018 22:13:4] /a 2
[27/4/2018 22:13:4] /a 2
[27/4/2018 22:13:4] /a 2
[27/4/2018 22:13:4] /a 2
[27/4/2018 22:13:4] /a 2
[27/4/2018 22:13:4] /a 2
[27/4/2018 22:13:4] /a 2
[27/4/2018 22:13:5] /a 2
[27/4/2018 22:13:5] /a 2
[27/4/2018 22:13:5] /a 2
[27/4/2018 22:13:5] /a 2
[27/4/2018 22:13:5] /a 2
[27/4/2018 22:13:5] /a 2
[27/4/2018 22:13:5] /a 2
[27/4/2018 22:13:5] /a 2
[27/4/2018 22:13:5] /a 2
[27/4/2018 22:13:5] /a 2
[27/4/2018 22:13:5] /a 2
[27/4/2018 22:13:5] /a 2
[27/4/2018 22:13:5] /a 2
[27/4/2018 22:13:5] /a 2
[27/4/2018 22:13:5] /a 2
[27/4/2018 22:13:5] /a 2
[27/4/2018 22:13:5] /a 2
[27/4/2018 22:13:5] /a 2
[27/4/2018 22:13:6] /a 2
[27/4/2018 22:13:6] /a 2
[27/4/2018 22:13:6] /a 2
[27/4/2018 22:13:6] /a 2
[27/4/2018 22:13:6] /a 2
[27/4/2018 22:13:6] /a 2
[27/4/2018 22:13:6] /a 2
[27/4/2018 22:13:6] /a 2
[27/4/2018 22:13:6] /a 2
[27/4/2018 22:13:6] /a 2
[27/4/2018 22:13:6] /a 2
[27/4/2018 22:13:6] /a 2
[27/4/2018 22:13:6] /a 2
[27/4/2018 22:13:6] /a 2
[27/4/2018 22:13:6] /a 2
[27/4/2018 22:17:37] /t
[27/4/2018 22:17:42] /r
[27/4/2018 22:17:44] /r
[27/4/2018 22:17:45] /r
[27/4/2018 22:17:52] /r
[27/4/2018 22:17:56] /m baylor
[27/4/2018 22:18:19] /m abominator
[27/4/2018 22:19:1] /m defiler
[27/4/2018 22:19:9] /m champion defiler
[27/4/2018 22:19:32] /m Champion defiler
[27/4/2018 22:20:41] /m snake god essence
[27/4/2018 22:21:15] /m sea serpent
[28/4/2018 14:23:25] /i 2153
[28/4/2018 14:23:29] /i 2155
[28/4/2018 14:28:21] /t
[28/4/2018 14:28:49] /a 2
[28/4/2018 14:28:49] /a 2
[28/4/2018 14:28:49] /a 2
[28/4/2018 14:28:49] /a 2
[28/4/2018 14:28:49] /a 2
[28/4/2018 14:28:50] /a 2
[28/4/2018 14:28:50] /a 2
[28/4/2018 14:28:50] /a 2
[28/4/2018 14:28:50] /a 2
[28/4/2018 14:28:50] /a 2
[28/4/2018 14:28:50] /a 2
[28/4/2018 14:28:50] /a 2
[28/4/2018 14:28:50] /a 2
[28/4/2018 14:28:50] /a 2
[28/4/2018 14:28:50] /a 2
[28/4/2018 14:28:50] /a 2
[28/4/2018 14:28:50] /a 2
[28/4/2018 14:28:50] /a 2
[28/4/2018 14:28:50] /a 2
[28/4/2018 14:28:50] /a 2
[28/4/2018 14:28:51] /a 2
[28/4/2018 14:28:51] /a 2
[28/4/2018 14:28:51] /a 2
[28/4/2018 14:28:51] /a 2
[28/4/2018 14:28:51] /a 2
[28/4/2018 14:28:51] /a 2
[28/4/2018 14:28:51] /a 2
[28/4/2018 14:28:52] /a 2
[28/4/2018 14:28:52] /a 2
[28/4/2018 14:28:52] /a 2
[28/4/2018 14:28:52] /a 2
[28/4/2018 14:28:52] /a 2
[28/4/2018 14:28:52] /a 2
[28/4/2018 14:28:52] /a 2
[28/4/2018 14:28:52] /a 2
[28/4/2018 14:28:52] /a 2
[28/4/2018 14:28:52] /a 2
[28/4/2018 14:28:52] /a 2
[28/4/2018 14:28:52] /a 2
[28/4/2018 14:28:52] /a 2
[28/4/2018 14:28:52] /a 2
[28/4/2018 14:28:52] /a 2
[28/4/2018 14:28:53] /a 2
[28/4/2018 14:28:53] /a 2
[28/4/2018 14:28:53] /a 2
[28/4/2018 14:28:53] /a 2
[28/4/2018 14:28:53] /a 2
[28/4/2018 14:29:13] /a 2
[28/4/2018 14:29:13] /a 2
[28/4/2018 14:29:14] /a 2
[28/4/2018 14:29:14] /a 2
[28/4/2018 14:29:14] /a 2
[28/4/2018 14:29:14] /a 2
[28/4/2018 14:29:14] /a 2
[28/4/2018 14:29:15] /a 2
[28/4/2018 14:29:16] /a 2
[28/4/2018 14:29:16] /a 2
[28/4/2018 14:29:16] /a 2
[28/4/2018 14:29:16] /a 2
[28/4/2018 14:29:16] /a 2
[28/4/2018 14:29:16] /a 2
[28/4/2018 14:29:16] /a 2
[28/4/2018 14:29:16] /a 2
[28/4/2018 14:29:16] /a 2
[28/4/2018 14:29:16] /a 2
[28/4/2018 14:29:16] /a 2
[28/4/2018 14:29:16] /a 2
[28/4/2018 14:29:16] /a 2
[28/4/2018 14:29:16] /a 2
[28/4/2018 14:29:16] /a 2
[28/4/2018 14:29:16] /a 2
[28/4/2018 14:29:16] /a 2
[28/4/2018 14:29:16] /a 2
[28/4/2018 14:29:16] /a 2
[28/4/2018 14:29:16] /a 2
[28/4/2018 14:29:16] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:17] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:18] /a 2
[28/4/2018 14:29:19] /a 2
[28/4/2018 14:29:19] /a 2
[28/4/2018 14:29:19] /a 2
[28/4/2018 14:29:19] /a 2
[28/4/2018 14:29:19] /a 2
[28/4/2018 14:29:19] /a 2
[28/4/2018 14:29:19] /a 2
[28/4/2018 14:29:19] /a 2
[28/4/2018 14:29:19] /a 2
[28/4/2018 14:29:19] /a 2
[28/4/2018 14:29:19] /a 2
[28/4/2018 14:29:19] /a 2
[28/4/2018 14:29:19] /a 2
[28/4/2018 14:29:19] /a 2
[28/4/2018 14:29:19] /a 2
[28/4/2018 14:29:19] /a 2
[28/4/2018 14:29:19] /a 2
[28/4/2018 14:29:19] /a 2
[28/4/2018 14:29:21] /a 2
[28/4/2018 14:29:21] /a 2
[28/4/2018 14:29:21] /a 2
[28/4/2018 14:29:21] /a 2
[28/4/2018 14:29:21] /a 2
[28/4/2018 14:36:15] /t
[30/4/2018 12:2:21] /a 2
[30/4/2018 12:5:23] /down
[30/4/2018 12:17:52] /i 8306
[30/4/2018 12:18:9] /i 9931
[30/4/2018 12:18:59] /i 2184
[30/4/2018 12:19:7] /r
[30/4/2018 12:20:49] /i 7438
[30/4/2018 12:21:5] /i 2352
[30/4/2018 12:21:20] /i 2197
[30/4/2018 12:21:46] /i 8929
[30/4/2018 12:21:49] /i 8925
[30/4/2018 12:22:2] /i 8932
[30/4/2018 14:39:22] /t
[30/4/2018 14:47:16] /i 2190
[30/4/2018 14:48:3] /i 2195
[30/4/2018 14:57:0] /i 2278
[30/4/2018 15:49:14] /down
[1/5/2018 7:20:17] /t
[1/5/2018 7:37:42] /i 9971
[1/5/2018 7:47:38] /i 4532
[1/5/2018 7:50:21] /t
[1/5/2018 9:34:38] /t
[1/5/2018 9:34:49] /t
